title,subtitle,main_keyword,expanded_keywords,intent,category,quality_score,codex_only_generation_confirmation,slug,internal_links,external_source,cta,meta_title,meta_description,canonical,excerpt,publish_at,template_variation
Health Inspection Star and Inspection Domain: How to Read the Nursing Home Decision,"Use health inspection star with overall rating to read CMS-linked records, compare nearby facilities, and ask better next-step questions.",health inspection star,inspection domain; overall rating; nursing home comparison,Understand which star domain deserves the first look when comparing facilities.,ratings,94,codex-only,inspection-star-weight,/facility.html; /compare.html,https://www.cms.gov/medicare/health-safety-standards/certification-compliance/five-star-quality-rating-system,Open NH-Data comparison tools,Health Inspection Star and Inspection Domain: How to Re...,"health inspection star and inspection domain explained with official source context, practical comparison questions, internal links, and caregiver decision",https://yoyangwon.com/blog/inspection-star-weight/,"CMS weights health inspections heavily because surveyors observe care conditions directly. The overall star is useful, but the inspection star is often the better first screen when you need a safety-focused shortlist.",2026-06-08T05:00:00+09:00,deep-0
"Before You Trust Staffing, Read This Overall Rating vs Domain Scores Guide","A people-first guide to overall rating vs domain scores, quality measures, source dates, internal comparisons, and practical caregiver decisions.",overall rating vs domain scores,health inspections; staffing; quality measures,Use a consistent sequence for reading CMS stars without over-trusting the headline number.,ratings,94,codex-only,overall-rating-vs-domain-scores,/compare.html; /enforcement.html,https://www.cms.gov/medicare/health-safety-standards/certification-compliance/five-star-quality-rating-system,Open NH-Data comparison tools,"Before You Trust Staffing, Read This Overall Rating vs...","overall rating vs domain scores and health inspections explained with official source context, practical comparison questions, internal links, and caregive",https://yoyangwon.com/blog/overall-rating-vs-domain-scores/,"Start with the overall rating for orientation, then break it apart into inspections, staffing, and quality measures before making any comparison.",2026-06-08T10:00:00+09:00,deep-1
One-Star Nursing Home Questions vs. Facility Tour: What Families Should Compare First,"How to connect one-star nursing home questions with CMS star rating so ratings, inspections, staffing, and payment details do not blur together.",one-star nursing home questions,CMS star rating; inspection record; facility tour,Avoid automatic decisions when a low rating needs context.,ratings,95,codex-only,one-star-nursing-home-questions,/listings.html; /facility.html,https://www.cms.gov/medicare/health-safety-standards/certification-compliance/five-star-quality-rating-system,Open NH-Data comparison tools,One-Star Nursing Home Questions vs. Facility Tour: What...,"one-star nursing home questions and CMS star rating explained with official source context, practical comparison questions, internal links, and caregiver d",https://yoyangwon.com/blog/one-star-nursing-home-questions/,"A one-star rating is a serious signal, not a full explanation. Ask what drove the rating, whether the findings are recent, and what has changed since the survey date.",2026-06-08T15:00:00+09:00,deep-2
The Five-Star Nursing Home Risks Checklist for Inspection History and Safer Nursing Home Choices,"A calm, source-based walkthrough of five-star nursing home risks, staffing turnover, common mistakes, and what to verify before admission.",five-star nursing home risks,inspection history; staffing turnover; quality measures,Show why high-rated facilities still need record review.,ratings,96,codex-only,five-star-home-still-risky,/facility.html; /compare.html,https://www.cms.gov/medicare/health-safety-standards/certification-compliance/five-star-quality-rating-system,Open NH-Data comparison tools,The Five-Star Nursing Home Risks Checklist for Inspecti...,"five-star nursing home risks and inspection history explained with official source context, practical comparison questions, internal links, and caregiver d",https://yoyangwon.com/blog/five-star-home-still-risky/,"A five-star rating can narrow the list, but it does not replace reviewing staffing, complaint history, and whether the facility fits the resident's actual needs.",2026-06-08T20:00:00+09:00,deep-3
When Deficiency Correction Matters More Than the Headline: A Nursing Home Rating Change Review,"Learn where nursing home rating change fits beside CMS data refresh, official CMS context, and the questions families should take to a facility.",nursing home rating change,survey cycle; deficiency correction; CMS data refresh,Explain rating movement without overstating what changed.,ratings,97,codex-only,rating-change-after-survey,/compare.html; /enforcement.html,https://www.cms.gov/medicare/health-safety-standards/certification-compliance/five-star-quality-rating-system,Open NH-Data comparison tools,When Deficiency Correction Matters More Than the Headli...,"nursing home rating change and survey cycle explained with official source context, practical comparison questions, internal links, and caregiver decision ",https://yoyangwon.com/blog/rating-change-after-survey/,"A rating change usually reflects new CMS data, not a real-time condition report. Treat the change as a prompt to read the survey record and data date.",2026-06-09T01:00:00+09:00,deep-4
"County Median Nursing Home Rating Explained Through Facility Ranking, CMS Data, and Family Questions","This guide turns county median nursing home rating and local percentile into a concrete comparison process for tours, calls, and shortlist decisions.",county median nursing home rating,local percentile; peer comparison; facility ranking,Teach local context instead of national-only comparison.,ratings,98,codex-only,county-median-rating,/listings.html; /facility.html,https://data.cms.gov/provider-data/,Open NH-Data comparison tools,County Median Nursing Home Rating Explained Through Fac...,"county median nursing home rating and local percentile explained with official source context, practical comparison questions, internal links, and caregive",https://yoyangwon.com/blog/county-median-rating/,"A facility's star rating is easier to interpret beside nearby peers. County median context helps families see whether a home is typical, above local norms, or a clear outlier.",2026-06-09T06:00:00+09:00,deep-5
A Practical State Average Nursing Home Comparison Framework for Reading Local Peer Group,"Read state average nursing home comparison alongside county facilities, source notes, and resident-specific needs before treating one signal as decisive.",state average nursing home comparison,local peer group; county facilities; state benchmark,Clarify geographic benchmarks for caregiver decisions.,ratings,94,codex-only,state-average-vs-local-peer,/facility.html; /compare.html,https://data.cms.gov/provider-data/,Open NH-Data comparison tools,A Practical State Average Nursing Home Comparison Frame...,"state average nursing home comparison and local peer group explained with official source context, practical comparison questions, internal links, and care",https://yoyangwon.com/blog/state-average-vs-local-peer/,"State averages help with broad context, but local peer groups are usually more practical because families choose among facilities they can actually visit.",2026-06-09T11:00:00+09:00,deep-6
What Care Planning Reveals About CMS Star Rating Limits in a Nursing Home Record,"A practical explanation of CMS star rating limits, nursing home selection, official-source limits, and the follow-up checks that reduce guesswork.",CMS star rating limits,resident needs; care planning; nursing home selection,Set safe expectations for rating use.,ratings,94,codex-only,star-rating-not-care-plan,/compare.html; /enforcement.html,https://www.cms.gov/medicare/health-safety-standards/certification-compliance/five-star-quality-rating-system,Open NH-Data comparison tools,What Care Planning Reveals About CMS Star Rating Limits...,"CMS star rating limits and resident needs explained with official source context, practical comparison questions, internal links, and caregiver decision ch",https://yoyangwon.com/blog/star-rating-not-care-plan/,"CMS stars are comparison tools. They do not decide whether a facility can meet a resident's dementia, rehab, language, diet, or mobility needs.",2026-06-09T16:00:00+09:00,deep-7
Nursing Home Rating Data Date: The Survey Timing Questions to Ask Before a Tour,"Use nursing home rating data date with CMS refresh to read CMS-linked records, compare nearby facilities, and ask better next-step questions.",nursing home rating data date,CMS refresh; outdated rating; survey timing,Make readers inspect source dates.,ratings,94,codex-only,rating-data-date-check,/listings.html; /facility.html,https://data.cms.gov/provider-data/,Open NH-Data comparison tools,Nursing Home Rating Data Date: The Survey Timing Questi...,"nursing home rating data date and CMS refresh explained with official source context, practical comparison questions, internal links, and caregiver decisio",https://yoyangwon.com/blog/rating-data-date-check/,The same rating can mean different things depending on when it was refreshed. Always check the CMS data date before treating a score as current.,2026-06-09T21:00:00+09:00,deep-8
Using Nursing Home Rating Tie Breaker and Staffing Hours Without Overreading the Data,"A people-first guide to nursing home rating tie breaker, deficiency severity, source dates, internal comparisons, and practical caregiver decisions.",nursing home rating tie breaker,staffing hours; deficiency severity; distance,Provide decision criteria when ratings match.,ratings,95,codex-only,rating-tie-breakers,/facility.html; /compare.html,https://www.cms.gov/medicare/health-safety-standards/certification-compliance/five-star-quality-rating-system,Open NH-Data comparison tools,Using Nursing Home Rating Tie Breaker and Staffing Hour...,"nursing home rating tie breaker and staffing hours explained with official source context, practical comparison questions, internal links, and caregiver de",https://yoyangwon.com/blog/rating-tie-breakers/,"When ratings are close, use staffing hours, severe deficiencies, distance for family visits, and the facility's correction record as tie breakers.",2026-06-10T02:00:00+09:00,deep-9
RN Hours Nursing Home and PBJ Data: How to Read the Nursing Home Decision,"How to connect RN hours nursing home with resident day so ratings, inspections, staffing, and payment details do not blur together.",RN hours nursing home,registered nurse staffing; PBJ data; resident day,Help readers prioritize raw staffing numbers.,staffing,96,codex-only,rn-hours-first,/compare.html; /enforcement.html,https://data.cms.gov/provider-data/,Open NH-Data comparison tools,RN Hours Nursing Home and PBJ Data: How to Read the Nur...,"RN hours nursing home and registered nurse staffing explained with official source context, practical comparison questions, internal links, and caregiver d",https://yoyangwon.com/blog/rn-hours-first/,"The staffing star is helpful, but RN hours per resident day gives a more concrete view of registered nurse coverage.",2026-06-10T07:00:00+09:00,deep-0
"Before You Trust CMS Staffing Data, Read This Weekend Staffing Nursing Home Guide","A calm, source-based walkthrough of weekend staffing nursing home, nurse coverage, common mistakes, and what to verify before admission.",weekend staffing nursing home,nurse coverage; staffing turnover; CMS staffing data,Explain why weekend patterns deserve attention.,staffing,97,codex-only,weekend-staffing-warning,/listings.html; /facility.html,https://data.cms.gov/provider-data/,Open NH-Data comparison tools,"Before You Trust CMS Staffing Data, Read This Weekend S...","weekend staffing nursing home and nurse coverage explained with official source context, practical comparison questions, internal links, and caregiver deci",https://yoyangwon.com/blog/weekend-staffing-warning/,A facility can look adequate on averages while struggling on weekends. Ask how weekend coverage compares with weekday staffing before relying on a single number.,2026-06-10T12:00:00+09:00,deep-1
